"id activity","means","standard deviation","activity"
1,-0.327492532591087,0.461912456235987,"WALKING"
1,-0.346692218548841,0.462182380126676,"WALKING"
1,-0.31906364400107,0.457129869106422,"WALKING"
1,-0.307101318636988,0.457966033525327,"WALKING"
1,-0.313233187201961,0.466652885396529,"WALKING"
1,-0.377196116921681,0.463404009911821,"WALKING"
1,-0.39949174392656,0.471034427916675,"WALKING"
1,-0.35248262397139,0.458036796689742,"WALKING"
1,-0.332789128306061,0.459941383554279,"WALKING"
1,-0.416439221869875,0.477987210147762,"WALKING"
1,-0.356245501346881,0.467340177115982,"WALKING"
1,-0.405490088342424,0.473849165639053,"WALKING"
1,-0.322707980754973,0.456561920612135,"WALKING"
1,-0.381608627069875,0.475866624955749,"WALKING"
1,-0.291261754024046,0.457593735909226,"WALKING"
1,-0.288155110945811,0.458750137346372,"WALKING"
1,-0.426521447388235,0.468835256616203,"WALKING"
1,-0.293977750941355,0.461466813614341,"WALKING"
1,-0.417274502613191,0.485988044786022,"WALKING"
1,-0.409766730722816,0.464035976814178,"WALKING"
1,-0.294850153656863,0.457170011944042,"WALKING"
1,-0.322859771236916,0.460954957066089,"WALKING"
1,-0.395833472291979,0.475716840023796,"WALKING"
1,-0.390174190576542,0.46179060736512,"WALKING"
1,-0.36370899766328,0.461677973935954,"WALKING"
1,-0.249911407277718,0.470183511995963,"WALKING"
1,-0.363699787605882,0.452943984375197,"WALKING"
1,-0.405716795763636,0.457064125018405,"WALKING"
1,-0.409745300901426,0.471605776754799,"WALKING"
1,-0.402467684620499,0.466048470586185,"WALKING"
1,-0.344508561845651,0.456195389263055,"WALKING"
1,-0.35626254948984,0.458091966949037,"WALKING"
1,-0.359371105966132,0.470905934942537,"WALKING"
1,-0.288274822738324,0.441329975065437,"WALKING"
1,-0.418831096099982,0.473009642711254,"WALKING"
1,-0.337357035552567,0.456050116950358,"WALKING"
1,-0.38267480692344,0.46732329787433,"WALKING"
1,-0.391374562062032,0.461008316584362,"WALKING"
1,-0.382186748508128,0.456323619604125,"WALKING"
1,-0.38762424016205,0.482763705938342,"WALKING"
1,-0.355880825952656,0.46852216023213,"WALKING"
1,-0.364336295219964,0.459826355169264,"WALKING"
1,-0.39170249631426,0.475431573060392,"WALKING"
1,-0.308846813761854,0.456078369989414,"WALKING"
1,-0.379072844082709,0.481470946252893,"WALKING"
1,-0.299109255451693,0.461074517030099,"WALKING"
1,-0.391800779348663,0.462287230306325,"WALKING"
1,-0.358467661187362,0.464355669414676,"WALKING"
1,-0.414442447231373,0.478346926186721,"WALKING"
1,-0.316307048241979,0.453596979947238,"WALKING"
1,-0.365088019421123,0.446304198109883,"WALKING"
1,-0.389700836916399,0.473806583184994,"WALKING"
1,-0.364048635389911,0.47150347862088,"WALKING"
1,-0.379615732062389,0.467016489814774,"WALKING"
1,-0.38701411163066,0.464917537144232,"WALKING"
1,-0.295181814797611,0.470030257374968,"WALKING"
1,-0.451671221493583,0.491432437493861,"WALKING"
1,-0.380119454198752,0.466491825248198,"WALKING"
1,-0.361803416907112,0.465242381989324,"WALKING"
1,-0.383911314429947,0.463772605887431,"WALKING"
1,-0.261041799627807,0.45317290840102,"WALKING"
1,-0.276261629117291,0.454343717032171,"WALKING"
1,-0.432320993529947,0.46988203441224,"WALKING"
1,-0.35857641412246,0.469680025165494,"WALKING"
1,-0.372424148928699,0.471630526167335,"WALKING"
1,-0.352288577881818,0.453853631267263,"WALKING"
1,-0.386786394051431,0.475298190205474,"WALKING"
1,-0.363287800250624,0.458958690082792,"WALKING"
1,-0.391472340079002,0.456969634122158,"WALKING"
1,-0.397583901606061,0.461506001261437,"WALKING"
1,-0.378511156573262,0.45889703081778,"WALKING"
1,-0.257782930018717,0.462511800628061,"WALKING"
1,-0.290792650514528,0.462478488322919,"WALKING"
1,-0.395330444686274,0.475383393644363,"WALKING"
1,-0.311905983966132,0.456135100470509,"WALKING"
1,-0.385840716497148,0.468804665953124,"WALKING"
1,-0.268301633058645,0.457045640073491,"WALKING"
1,-0.360162178540481,0.464823763323553,"WALKING"
1,-0.278129480991373,0.447625369940685,"WALKING"
1,-0.43248430897861,0.464602592948831,"WALKING"
1,-0.415198599401016,0.465680010491648,"WALKING"
1,-0.360772257488592,0.46447264391349,"WALKING"
1,-0.361843609295187,0.455512442020099,"WALKING"
1,-0.369513167849376,0.453183228892391,"WALKING"
1,-0.375897288164528,0.454467017760552,"WALKING"
1,-0.380500829330535,0.451297621474425,"WALKING"
1,-0.287124727825668,0.480713832080788,"WALKING"
1,-0.41622683443779,0.469414181913987,"WALKING"
1,-0.364825348342602,0.468967803170997,"WALKING"
1,-0.259455927918717,0.454429564251927,"WALKING"
1,-0.380497126480927,0.468433298550219,"WALKING"
1,-0.298302805013725,0.449570955709974,"WALKING"
1,-0.382538091388592,0.452797750379004,"WALKING"
1,-0.405353045562389,0.474338167391542,"WALKING"
1,-0.32415964421426,0.449624577015599,"WALKING"
1,-0.325194166636185,0.45110368457566,"WALKING"
1,-0.390251844233512,0.466682177897193,"WALKING"
1,-0.394347064536185,0.458318290089198,"WALKING"
1,-0.406199451865151,0.46040317382552,"WALKING"
1,-0.302389739504831,0.45568840899322,"WALKING"
1,-0.243969204565722,0.496834096901772,"WALKING"
1,-0.373751029899643,0.472341246348892,"WALKING"
1,-0.246944708444189,0.494073954839738,"WALKING"
